WKT,id,NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,STATUS
POINT (146.13841 -41.1355),168348,TAS_3545B,3545B,Goat Island,ISLAND,LANDFORM,TERRAIN,-41.1355,146.13841,TAS,2024-07-07,gazetted
POINT (145.91256 -43.19658),168349,TAS_10513M,10513M,Goat Islet,ISLAND,LANDFORM,TERRAIN,-43.19658,145.91256,TAS,2024-07-07,gazetted
POINT (147.79487 -40.30055),168350,TAS_3821K,3821K,Goose Island,ISLAND,LANDFORM,TERRAIN,-40.30055,147.79487,TAS,2024-07-07,gazetted
POINT (158.94421 -54.48757),168351,TAS_7279X,7279X,Gorilla Head Rock,ISLAND,LANDFORM,TERRAIN,-54.48757,158.94421,TAS,2024-07-07,gazetted
POINT (148.31278 -41.87136),168352,TAS_2649B,2649B,Governor Island,ISLAND,LANDFORM,TERRAIN,-41.87136,148.31278,TAS,2024-07-07,gazetted
POINT (146.57656 -41.20817),168353,TAS_3709K,3709K,Grass Island,ISLAND,LANDFORM,TERRAIN,-41.20817,146.57656,TAS,2024-07-07,gazetted
POINT (144.06131 -40.06966),168354,TAS_10619L,10619L,Grassy Island,ISLAND,LANDFORM,TERRAIN,-40.06966,144.06131,TAS,2024-07-07,gazetted
POINT (147.85695 -42.93957),168355,TAS_11890Q,11890Q,Grave Island,ISLAND,LANDFORM,TERRAIN,-42.93957,147.85695,TAS,2024-07-07,gazetted
POINT (148.25195 -40.24856),168356,TAS_3833T,3833T,Great Dog Island,ISLAND,LANDFORM,TERRAIN,-40.24856,148.25195,TAS,2024-07-07,gazetted
POINT (148.08643 -42.72363),168357,TAS_1546P,1546P,Greater Pyramidal Rock,ISLAND,LANDFORM,TERRAIN,-42.72363,148.08643,TAS,2024-07-07,gazetted
POINT (147.15003 -42.75286),168358,TAS_17838W,17838W,Green Island,ISLAND,LANDFORM,TERRAIN,-42.75286,147.15003,TAS,2024-07-07,gazetted
POINT (148.25134 -41.45689),168360,TAS_14597L,14597L,Green Island,ISLAND,LANDFORM,TERRAIN,-41.45689,148.25134,TAS,2024-07-07,gazetted
POINT (147.29061 -43.19722),168363,TAS_1500G,1500G,Green Island,ISLAND,LANDFORM,TERRAIN,-43.19722,147.29061,TAS,2024-07-07,gazetted
POINT (146.0409 -42.83715),168364,TAS_23435M,23435M,Green Tree Island,ISLAND,LANDFORM,TERRAIN,-42.83715,146.0409,TAS,2024-07-07,gazetted
POINT (148.362 -40.993),168365,TAS_3847J,3847J,Greyhound Rock,ISLAND,LANDFORM,TERRAIN,-40.993,148.362,TAS,2024-07-07,gazetted
POINT (145.45944 -42.3845),168366,TAS_8171M,8171M,Grummet Island,ISLAND,LANDFORM,TERRAIN,-42.3845,145.45944,TAS,2024-07-07,gazetted
POINT (148.49704 -40.43445),168367,TAS_7760S,7760S,Gull Island,ISLAND,LANDFORM,TERRAIN,-40.43445,148.49704,TAS,2024-07-07,gazetted
POINT (143.84103 -39.92445),168368,TAS_10620T,10620T,Gull Rock,ISLAND,LANDFORM,TERRAIN,-39.92445,143.84103,TAS,2024-07-07,gazetted
POINT (148.50414 -40.43871),168369,TAS_7761W,7761W,Gull Rock,ISLAND,LANDFORM,TERRAIN,-40.43871,148.50414,TAS,2024-07-07,gazetted
POINT (148.35381 -42.2032),168370,TAS_3861E,3861E,Half Lemon Rock,ISLAND,LANDFORM,TERRAIN,-42.2032,148.35381,TAS,2024-07-07,gazetted
POINT (147.891 -40.03402),168371,TAS_17173L,17173L,Half Mile Rock,ISLAND,LANDFORM,TERRAIN,-40.03402,147.891,TAS,2024-07-07,gazetted
POINT (148.33298 -40.97817),168372,TAS_17843N,17843N,Half Tide Rock,ISLAND,LANDFORM,TERRAIN,-40.97817,148.33298,TAS,2024-07-07,gazetted
POINT (145.51535 -40.86133),168373,TAS_8172P,8172P,Half Tide Rock,ISLAND,LANDFORM,TERRAIN,-40.86133,145.51535,TAS,2024-07-07,gazetted
POINT (144.93525 -40.57733),168374,TAS_12573E,12573E,Half Tide Rock,ISLAND,LANDFORM,TERRAIN,-40.57733,144.93525,TAS,2024-07-07,gazetted
POINT (145.45053 -42.40292),168375,TAS_6490K,6490K,Hallidays Island,ISLAND,LANDFORM,TERRAIN,-42.40292,145.45053,TAS,2024-07-07,gazetted
POINT (146.29922 -41.95121),168376,TAS_20561T,20561T,Halls Island,ISLAND,LANDFORM,TERRAIN,-41.95121,146.29922,TAS,2024-07-07,gazetted
POINT (144.73387 -40.64001),168382,TAS_10621X,10621X,Harbour Islets,ISLAND,LANDFORM,TERRAIN,-40.64001,144.73387,TAS,2024-07-07,gazetted
POINT (144.85032 -40.73382),168383,TAS_12574G,12574G,Harcus Island,ISLAND,LANDFORM,TERRAIN,-40.73382,144.85032,TAS,2024-07-07,gazetted
POINT (148.07469 -40.69914),168384,TAS_7762Y,7762Y,Harry Rock,ISLAND,LANDFORM,TERRAIN,-40.69914,148.07469,TAS,2024-07-07,gazetted
POINT (147.32248 -39.45126),168385,TAS_9675N,9675N,Hat Rock,ISLAND,LANDFORM,TERRAIN,-39.45126,147.32248,TAS,2024-07-07,gazetted
POINT (146.91739 -41.95499),168386,TAS_6491M,6491M,Hawk Island,ISLAND,LANDFORM,TERRAIN,-41.95499,146.91739,TAS,2024-07-07,gazetted
POINT (145.94865 -43.36008),168388,TAS_3487P,3487P,Hay Island,ISLAND,LANDFORM,TERRAIN,-43.36008,145.94865,TAS,2024-07-07,gazetted
POINT (148.06917 -42.18868),168389,TAS_11041S,11041S,Haystack Rock,ISLAND,LANDFORM,TERRAIN,-42.18868,148.06917,TAS,2024-07-07,gazetted
POINT (158.94115 -54.49977),168390,TAS_7280F,7280F,Hayter Rock,ISLAND,LANDFORM,TERRAIN,-54.49977,158.94115,TAS,2024-07-07,gazetted
POINT (147.65103 -43.09488),168391,TAS_2203E,2203E,Hayward Rock,ISLAND,LANDFORM,TERRAIN,-43.09488,147.65103,TAS,2024-07-07,gazetted
POINT (146.05711 -43.31743),168392,TAS_3488R,3488R,Hehir Island,ISLAND,LANDFORM,TERRAIN,-43.31743,146.05711,TAS,2024-07-07,gazetted
POINT (146.73094 -41.86341),168393,TAS_1900T,1900T,Helen Island,ISLAND,LANDFORM,TERRAIN,-41.86341,146.73094,TAS,2024-07-07,gazetted
POINT (146.58262 -43.56973),168394,TAS_4104K,4104K,Hen Island,ISLAND,LANDFORM,TERRAIN,-43.56973,146.58262,TAS,2024-07-07,gazetted
POINT (147.10805 -43.44114),168395,TAS_10121A,10121A,Hen and Chicken Rocks,ISLAND,LANDFORM,TERRAIN,-43.44114,147.10805,TAS,2024-07-07,gazetted
POINT (144.73708 -40.62374),168396,TAS_10622A,10622A,Henderson Islets,ISLAND,LANDFORM,TERRAIN,-40.62374,144.73708,TAS,2024-07-07,gazetted
POINT (144.72617 -40.54426),168397,TAS_35656T,35656T,Henel Rock,ISLAND,LANDFORM,TERRAIN,-40.54426,144.72617,TAS,2024-07-07,gazetted
POINT (146.09105 -42.8395),168398,TAS_23437R,23437R,Hermit Island,ISLAND,LANDFORM,TERRAIN,-42.8395,146.09105,TAS,2024-07-07,gazetted
POINT (145.27668 -42.60481),168400,TAS_4788P,4788P,Hibbs Pyramid,ISLAND,LANDFORM,TERRAIN,-42.60481,145.27668,TAS,2024-07-07,gazetted
POINT (144.7071 -41.28315),168401,TAS_16158T,16158T,High Rock,ISLAND,LANDFORM,TERRAIN,-41.28315,144.7071,TAS,2024-07-07,gazetted
POINT (148.05328 -43.12225),168402,TAS_4650X,4650X,Hippolyte Rocks,ISLAND,LANDFORM,TERRAIN,-43.12225,148.05328,TAS,2024-07-07,gazetted
POINT (145.78516 -43.22396),168403,TAS_5679X,5679X,Hobbs Island,ISLAND,LANDFORM,TERRAIN,-43.22396,145.78516,TAS,2024-07-07,gazetted
POINT (147.65718 -42.94212),168404,TAS_2205J,2205J,Hog Island,ISLAND,LANDFORM,TERRAIN,-42.94212,147.65718,TAS,2024-07-07,gazetted
POINT (146.98688 -39.21937),168405,TAS_9676Q,9676Q,Hogan Group,ISLAND,LANDFORM,TERRAIN,-39.21937,146.98688,TAS,2024-07-07,gazetted
POINT (146.98688 -39.21937),168406,TAS_9677S,9677S,Hogan Island,ISLAND,LANDFORM,TERRAIN,-39.21937,146.98688,TAS,2024-07-07,gazetted
POINT (145.96153 -41.66807),168407,TAS_560Q,560Q,Honeymoon Islands,ISLAND,LANDFORM,TERRAIN,-41.66807,145.96153,TAS,2024-07-07,gazetted
POINT (147.04237 -43.33699),168408,TAS_4219L,4219L,Hope Island,ISLAND,LANDFORM,TERRAIN,-43.33699,147.04237,TAS,2024-07-07,gazetted
POINT (147.43045 -43.25251),168409,TAS_10126L,10126L,Hounds Tooth,ISLAND,LANDFORM,TERRAIN,-43.25251,147.43045,TAS,2024-07-07,gazetted
POINT (144.80383 -40.57607),168410,TAS_12575J,12575J,House Rocks,ISLAND,LANDFORM,TERRAIN,-40.57607,144.80383,TAS,2024-07-07,gazetted
POINT (146.76167 -41.87835),168411,TAS_21007C,21007C,Howells Neck Island,ISLAND,LANDFORM,TERRAIN,-41.87835,146.76167,TAS,2024-07-07,gazetted
POINT (144.9784 -40.73416),168412,TAS_10623C,10623C,Howie Island,ISLAND,LANDFORM,TERRAIN,-40.73416,144.9784,TAS,2024-07-07,gazetted
POINT (144.74956 -40.54318),168413,TAS_4683S,4683S,Hunter Island,ISLAND,LANDFORM,TERRAIN,-40.54318,144.74956,TAS,2024-07-07,gazetted
POINT (147.14317 -43.28966),168414,TAS_320D,320D,Huon Island,ISLAND,LANDFORM,TERRAIN,-43.28966,147.14317,TAS,2024-07-07,gazetted
POINT (146.88914 -43.57852),168415,TAS_22521N,22521N,Hutchins Island,ISLAND,LANDFORM,TERRAIN,-43.57852,146.88914,TAS,2024-07-07,gazetted
POINT (148.1628 -42.41322),168416,TAS_8173R,8173R,Ile des Phoques,ISLAND,LANDFORM,TERRAIN,-42.41322,148.1628,TAS,2024-07-07,gazetted
POINT (146.52485 -43.56921),168417,TAS_4105M,4105M,Ile du Golfe,ISLAND,LANDFORM,TERRAIN,-43.56921,146.52485,TAS,2024-07-07,gazetted
POINT (148.07016 -42.56276),168418,TAS_8174T,8174T,Ile du Nord,ISLAND,LANDFORM,TERRAIN,-42.56276,148.07016,TAS,2024-07-07,gazetted
POINT (146.15409 -43.51907),168419,TAS_10931F,10931F,Inner Rocks,ISLAND,LANDFORM,TERRAIN,-43.51907,146.15409,TAS,2024-07-07,gazetted
POINT (147.91336 -39.69325),168420,TAS_9698F,9698F,Inner Sister Island,ISLAND,LANDFORM,TERRAIN,-39.69325,147.91336,TAS,2024-07-07,gazetted
POINT (147.41716 -43.05865),168421,TAS_2206L,2206L,Iron Pot,ISLAND,LANDFORM,TERRAIN,-43.05865,147.41716,TAS,2024-07-07,gazetted
POINT (147.94351 -40.12959),168422,TAS_3807P,3807P,Isabella Island,ISLAND,LANDFORM,TERRAIN,-40.12959,147.94351,TAS,2024-07-07,gazetted
POINT (147.64979 -42.90752),168423,TAS_2208Q,2208Q,Isle of Caves,ISLAND,LANDFORM,TERRAIN,-42.90752,147.64979,TAS,2024-07-07,gazetted
POINT (147.86749 -43.14918),168424,TAS_4469E,4469E,Isle of the Dead,ISLAND,LANDFORM,TERRAIN,-43.14918,147.86749,TAS,2024-07-07,gazetted
POINT (147.98333 -42.31092),168425,TAS_11379F,11379F,Jacks Island,ISLAND,LANDFORM,TERRAIN,-42.31092,147.98333,TAS,2024-07-07,gazetted
POINT (146.92686 -42.00777),168426,TAS_17871Y,17871Y,Jenkins Island,ISLAND,LANDFORM,TERRAIN,-42.00777,146.92686,TAS,2024-07-07,gazetted
POINT (148.08955 -42.695),168427,TAS_10410W,10410W,John Bulls Rock,ISLAND,LANDFORM,TERRAIN,-42.695,148.08955,TAS,2024-07-07,gazetted
POINT (143.83289 -39.90292),168428,TAS_16304F,16304F,Johnson Rock,ISLAND,LANDFORM,TERRAIN,-39.90292,143.83289,TAS,2024-07-07,gazetted
POINT (158.99445 -54.36318),168429,TAS_7281H,7281H,Judge and Clerk Islets,ISLAND,LANDFORM,TERRAIN,-54.36318,158.99445,TAS,2024-07-07,gazetted
POINT (147.12525 -39.50804),168430,TAS_9678W,9678W,Judgment Rocks,ISLAND,LANDFORM,TERRAIN,-39.50804,147.12525,TAS,2024-07-07,gazetted
POINT (144.83282 -40.69639),168431,TAS_7365R,7365R,Kangaroo Island,ISLAND,LANDFORM,TERRAIN,-40.69639,144.83282,TAS,2024-07-07,gazetted
POINT (146.75302 -41.93891),168432,TAS_1369M,1369M,Kangaroo Island,ISLAND,LANDFORM,TERRAIN,-41.93891,146.75302,TAS,2024-07-07,gazetted
POINT (144.679381159342 -40.6717868376578),168436,TAS_36739R,36739R,Kaninerwidic,ISLAND,LANDFORM,TERRAIN,-40.67178684,144.6793812,TAS,2024-07-07,gazetted
POINT (145.16622 -42.19615),168437,TAS_8085R,8085R,Karitane Rock,ISLAND,LANDFORM,TERRAIN,-42.19615,145.16622,TAS,2024-07-07,gazetted
POINT (144.671833217718 -40.6710438444111),168438,TAS_37614J,37614J,Karrernootong,ISLAND,LANDFORM,TERRAIN,-40.67104384,144.6718332,TAS,2024-07-07,gazetted
POINT (145.96394 -43.30643),168439,TAS_5681H,5681H,Kathleen Island,ISLAND,LANDFORM,TERRAIN,-43.30643,145.96394,TAS,2024-07-07,gazetted
POINT (147.97496 -42.88196),168440,TAS_2453X,2453X,Kelly Islands,ISLAND,LANDFORM,TERRAIN,-42.88196,147.97496,TAS,2024-07-07,gazetted
POINT (146.90851 -43.56286),168441,TAS_4472R,4472R,Kelly Rocks,ISLAND,LANDFORM,TERRAIN,-43.56286,146.90851,TAS,2024-07-07,gazetted
POINT (143.83895 -39.92501),168442,TAS_39494C,39494C,Kelp Rock,ISLAND,LANDFORM,TERRAIN,-39.92501,143.83895,TAS,2024-07-07,gazetted
POINT (147.33263 -39.47154),168443,TAS_5356C,5356C,Kent Group,ISLAND,LANDFORM,TERRAIN,-39.47154,147.33263,TAS,2024-07-07,gazetted
POINT (148.2682 -40.44819),168444,TAS_4136E,4136E,Kent Rock,ISLAND,LANDFORM,TERRAIN,-40.44819,148.2682,TAS,2024-07-07,gazetted
POINT (147.88628 -39.68426),168445,TAS_17057C,17057C,Ketch Rock,ISLAND,LANDFORM,TERRAIN,-39.68426,147.88628,TAS,2024-07-07,gazetted
POINT (146.11826 -43.52912),168446,TAS_10932H,10932H,Ketchem Island,ISLAND,LANDFORM,TERRAIN,-43.52912,146.11826,TAS,2024-07-07,gazetted
POINT (148.02744 -40.43522),168447,TAS_7763B,7763B,Key Island,ISLAND,LANDFORM,TERRAIN,-40.43522,148.02744,TAS,2024-07-07,gazetted
POINT (146.56716 -41.237),168448,TAS_6848S,6848S,Kid Island,ISLAND,LANDFORM,TERRAIN,-41.237,146.56716,TAS,2024-07-07,gazetted
POINT (147.82385 -42.95157),168449,TAS_2283R,2283R,King George Island,ISLAND,LANDFORM,TERRAIN,-42.95157,147.82385,TAS,2024-07-07,gazetted
POINT (143.9886 -39.85323),168450,TAS_5355A,5355A,King Island,ISLAND,LANDFORM,TERRAIN,-39.85323,143.9886,TAS,2024-07-07,gazetted
POINT (147.76388 -40.0805),168451,TAS_19009W,19009W,Koh-i-Noor Rock,ISLAND,LANDFORM,TERRAIN,-40.0805,147.76388,TAS,2024-07-07,gazetted
POINT (144.679381159342 -40.6717868376578),168452,TAS_36481E,36481E,Koindrim,ISLAND,LANDFORM,TERRAIN,-40.67178684,144.6793812,TAS,2024-07-07,gazetted
POINT (147.97809 -42.64274),168453,TAS_2995S,2995S,Lachlan Island,ISLAND,LANDFORM,TERRAIN,-42.64274,147.97809,TAS,2024-07-07,gazetted
POINT (147.16591 -42.1501),168454,TAS_21873C,21873C,Lakeside Island,ISLAND,LANDFORM,TERRAIN,-42.1501,147.16591,TAS,2024-07-07,gazetted
POINT (146.230580960906 -42.1337864970338),168456,TAS_37746C,37746C,Larener,ISLAND,LANDFORM,TERRAIN,-42.1337865,146.230581,TAS,2024-07-07,gazetted
POINT (145.2861 -42.63385),168457,TAS_15982C,15982C,Leelinger Island,ISLAND,LANDFORM,TERRAIN,-42.63385,145.2861,TAS,2024-07-07,gazetted
POINT (148.35612 -42.1801),168458,TAS_3862G,3862G,Lemon Rock,ISLAND,LANDFORM,TERRAIN,-42.1801,148.35612,TAS,2024-07-07,gazetted
POINT (148.3057 -40.91163),168459,TAS_4106P,4106P,Leprena Rocks,ISLAND,LANDFORM,TERRAIN,-40.91163,148.3057,TAS,2024-07-07,gazetted
POINT (148.09245 -42.7216),168460,TAS_1547R,1547R,Lesser Pyramidal Rock,ISLAND,LANDFORM,TERRAIN,-42.7216,148.09245,TAS,2024-07-07,gazetted
POINT (146.81226 -43.60806),168461,TAS_10459L,10459L,Lion Rock,ISLAND,LANDFORM,TERRAIN,-43.60806,146.81226,TAS,2024-07-07,gazetted
POINT (148.32539 -40.95025),168462,TAS_8279Q,8279Q,Lipstick Rock,ISLAND,LANDFORM,TERRAIN,-40.95025,148.32539,TAS,2024-07-07,gazetted
POINT (148.11318 -40.29157),168463,TAS_19010E,19010E,Little Anderson Island,ISLAND,LANDFORM,TERRAIN,-40.29157,148.11318,TAS,2024-07-07,gazetted
POINT (147.91638 -40.30055),168464,TAS_19011G,19011G,Little Badger Island,ISLAND,LANDFORM,TERRAIN,-40.30055,147.91638,TAS,2024-07-07,gazetted
POINT (147.48543 -43.06774),168465,TAS_2209S,2209S,Little Betsey Island,ISLAND,LANDFORM,TERRAIN,-43.06774,147.48543,TAS,2024-07-07,gazetted
POINT (147.85513 -42.84874),168466,TAS_7366T,7366T,Little Boomer,ISLAND,LANDFORM,TERRAIN,-42.84874,147.85513,TAS,2024-07-07,gazetted
POINT (147.8933 -40.13739),168467,TAS_19012J,19012J,Little Chalky Island,ISLAND,LANDFORM,TERRAIN,-40.13739,147.8933,TAS,2024-07-07,gazetted
POINT (148.02623 -42.25476),168468,TAS_2975J,2975J,Little Christmas Island,ISLAND,LANDFORM,TERRAIN,-42.25476,148.02623,TAS,2024-07-07,gazetted
POINT (148.20795 -40.25285),168469,TAS_3832R,3832R,Little Dog Island,ISLAND,LANDFORM,TERRAIN,-40.25285,148.20795,TAS,2024-07-07,gazetted
POINT (148.33854 -41.26034),168470,TAS_19505J,19505J,Little Elephant,ISLAND,LANDFORM,TERRAIN,-41.26034,148.33854,TAS,2024-07-07,gazetted
POINT (147.7845 -40.29525),168472,TAS_3820H,3820H,Little Goose Island,ISLAND,LANDFORM,TERRAIN,-40.29525,147.7845,TAS,2024-07-07,gazetted
POINT (148.25228 -40.22649),168473,TAS_3846G,3846G,Little Green Island,ISLAND,LANDFORM,TERRAIN,-40.22649,148.25228,TAS,2024-07-07,gazetted
POINT (147.82495 -39.822),168474,TAS_17061R,17061R,Little Island,ISLAND,LANDFORM,TERRAIN,-39.822,147.82495,TAS,2024-07-07,gazetted
POINT (148.03589 -40.4332),168475,TAS_17319Q,17319Q,Little Key Island,ISLAND,LANDFORM,TERRAIN,-40.4332,148.03589,TAS,2024-07-07,gazetted
POINT (146.04939 -43.33884),168476,TAS_3489T,3489T,Little Louisa Islet,ISLAND,LANDFORM,TERRAIN,-43.33884,146.04939,TAS,2024-07-07,gazetted
POINT (148.01907 -40.4963),168477,TAS_7764D,7764D,Little Night Island,ISLAND,LANDFORM,TERRAIN,-40.4963,148.01907,TAS,2024-07-07,gazetted
POINT (147.98312 -42.32282),168478,TAS_11380N,11380N,Little Ram Island,ISLAND,LANDFORM,TERRAIN,-42.32282,147.98312,TAS,2024-07-07,gazetted
POINT (147.76848 -39.84282),168479,TAS_17062T,17062T,Little Sentinel,ISLAND,LANDFORM,TERRAIN,-39.84282,147.76848,TAS,2024-07-07,gazetted
POINT (147.60108 -42.86416),168480,TAS_40757D,40757D,Little Spectacle Island,ISLAND,LANDFORM,TERRAIN,-42.86416,147.60108,TAS,2024-07-07,gazetted
POINT (144.92223 -40.56778),168481,TAS_12576L,12576L,Little Stony,ISLAND,LANDFORM,TERRAIN,-40.56778,144.92223,TAS,2024-07-07,gazetted
POINT (148.08113 -40.72428),168483,TAS_7765F,7765F,Little Swan Island,ISLAND,LANDFORM,TERRAIN,-40.72428,148.08113,TAS,2024-07-07,gazetted
POINT (144.70262 -40.64458),168484,TAS_10637Q,10637Q,Little Trefoil,ISLAND,LANDFORM,TERRAIN,-40.64458,144.70262,TAS,2024-07-07,gazetted
POINT (147.62786 -40.82329),168489,TAS_1862S,1862S,Little Waterhouse Island,ISLAND,LANDFORM,TERRAIN,-40.82329,147.62786,TAS,2024-07-07,gazetted
POINT (143.84146 -39.68401),168490,TAS_16316P,16316P,Lizzy Rock,ISLAND,LANDFORM,TERRAIN,-39.68401,143.84146,TAS,2024-07-07,gazetted
POINT (148.00823 -40.35954),168491,TAS_3830M,3830M,Long Island,ISLAND,LANDFORM,TERRAIN,-40.35954,148.00823,TAS,2024-07-07,gazetted
POINT (146.99989 -39.20766),168492,TAS_9679Y,9679Y,Long Islet,ISLAND,LANDFORM,TERRAIN,-39.20766,146.99989,TAS,2024-07-07,gazetted
POINT (148.09748 -40.55549),168493,TAS_7766H,7766H,Lookout Rock,ISLAND,LANDFORM,TERRAIN,-40.55549,148.09748,TAS,2024-07-07,gazetted
POINT (146.35833 -43.53484),168494,TAS_1537M,1537M,Louisa Island,ISLAND,LANDFORM,TERRAIN,-43.53484,146.35833,TAS,2024-07-07,gazetted
POINT (145.98305 -43.35394),168495,TAS_10516T,10516T,Lourah Island,ISLAND,LANDFORM,TERRAIN,-43.35394,145.98305,TAS,2024-07-07,gazetted
POINT (146.81249 -41.1061),168496,TAS_6851G,6851G,Lovers Islets,ISLAND,LANDFORM,TERRAIN,-41.1061,146.81249,TAS,2024-07-07,gazetted
POINT (147.7245 -40.13048),168497,TAS_3804H,3804H,Low Islets,ISLAND,LANDFORM,TERRAIN,-40.13048,147.7245,TAS,2024-07-07,gazetted
POINT (148.24267 -40.56194),168498,TAS_7767K,7767K,Low Islets,ISLAND,LANDFORM,TERRAIN,-40.56194,148.24267,TAS,2024-07-07,gazetted
POINT (148.35085 -42.20812),168499,TAS_16461L,16461L,Lulof Rock,ISLAND,LANDFORM,TERRAIN,-42.20812,148.35085,TAS,2024-07-07,gazetted
POINT (146.35799 -43.597),168500,TAS_3490D,3490D,Maatsuyker Group,ISLAND,LANDFORM,TERRAIN,-43.597,146.35799,TAS,2024-07-07,gazetted
POINT (146.27674 -43.64672),168501,TAS_3491F,3491F,Maatsuyker Island,ISLAND,LANDFORM,TERRAIN,-43.64672,146.27674,TAS,2024-07-07,gazetted
POINT (146.74077 -41.96715),168502,TAS_1364B,1364B,MacLanachans Island,ISLAND,LANDFORM,TERRAIN,-41.96715,146.74077,TAS,2024-07-07,gazetted
POINT (146.75586 -41.96186),168503,TAS_1365D,1365D,MacLanachans Point Island,ISLAND,LANDFORM,TERRAIN,-41.96186,146.75586,TAS,2024-07-07,gazetted
POINT (147.93537 -40.76058),168504,TAS_6133K,6133K,MacLean Island,ISLAND,LANDFORM,TERRAIN,-40.76058,147.93537,TAS,2024-07-07,gazetted
POINT (147.93588 -40.7633),168505,TAS_7542T,7542T,Mack Rocks,ISLAND,LANDFORM,TERRAIN,-40.7633,147.93588,TAS,2024-07-07,gazetted
POINT (147.83725 -43.00369),168506,TAS_12125X,12125X,Mackerel Islets,ISLAND,LANDFORM,TERRAIN,-43.00369,147.83725,TAS,2024-07-07,gazetted
POINT (158.86261 -54.62721),168507,TAS_7283M,7283M,Macquarie Island,ISLAND,LANDFORM,TERRAIN,-54.62721,158.86261,TAS,2024-07-07,gazetted
POINT (147.18102 -42.14519),168508,TAS_13514X,13514X,Macs Rock,ISLAND,LANDFORM,TERRAIN,-42.14519,147.18102,TAS,2024-07-07,gazetted
POINT (145.29966 -42.18187),168509,TAS_2670S,2670S,Magazine Island,ISLAND,LANDFORM,TERRAIN,-42.18187,145.29966,TAS,2024-07-07,gazetted
POINT (146.54761 -41.14267),168510,TAS_6868D,6868D,Majors Rocks,ISLAND,LANDFORM,TERRAIN,-41.14267,146.54761,TAS,2024-07-07,gazetted
POINT (148.08774 -40.46317),168511,TAS_7768M,7768M,Malms Rock,ISLAND,LANDFORM,TERRAIN,-40.46317,148.08774,TAS,2024-07-07,gazetted
POINT (147.80786 -42.00655),168512,TAS_12804C,12804C,March Island,ISLAND,LANDFORM,TERRAIN,-42.00655,147.80786,TAS,2024-07-07,gazetted
POINT (148.0886 -42.6225),168513,TAS_5357E,5357E,Maria Island,ISLAND,LANDFORM,TERRAIN,-42.6225,148.0886,TAS,2024-07-07,gazetted
POINT (147.99874 -40.43421),168514,TAS_7781F,7781F,Maroon Rock,ISLAND,LANDFORM,TERRAIN,-40.43421,147.99874,TAS,2024-07-07,gazetted
POINT (146.57241 -41.23576),168515,TAS_3712Y,3712Y,Marsh Island,ISLAND,LANDFORM,TERRAIN,-41.23576,146.57241,TAS,2024-07-07,gazetted
POINT (147.89836 -39.94406),168516,TAS_17067G,17067G,Marshall Rock,ISLAND,LANDFORM,TERRAIN,-39.94406,147.89836,TAS,2024-07-07,gazetted
POINT (147.37872 -42.30754),168517,TAS_13515A,13515A,Marys Island,ISLAND,LANDFORM,TERRAIN,-42.30754,147.37872,TAS,2024-07-07,gazetted
POINT (145.04643 -40.68555),168518,TAS_12317Q,12317Q,Marys Island,ISLAND,LANDFORM,TERRAIN,-40.68555,145.04643,TAS,2024-07-07,gazetted
POINT (147.84478 -43.0287),168519,TAS_4473T,4473T,Mason Rock,ISLAND,LANDFORM,TERRAIN,-43.0287,147.84478,TAS,2024-07-07,gazetted
POINT (145.96589 -43.30317),168520,TAS_4993C,4993C,Mavourneen Rocks,ISLAND,LANDFORM,TERRAIN,-43.30317,145.96589,TAS,2024-07-07,gazetted
POINT (143.8671 -39.95809),168522,TAS_16236P,16236P,Memorial Rock,ISLAND,LANDFORM,TERRAIN,-39.95809,143.8671,TAS,2024-07-07,gazetted
POINT (144.95137 -40.38519),168523,TAS_4679D,4679D,Mermaid Rock,ISLAND,LANDFORM,TERRAIN,-40.38519,144.95137,TAS,2024-07-07,gazetted
POINT (148.383 -41.27932),168524,TAS_5767X,5767X,Merrick Rock,ISLAND,LANDFORM,TERRAIN,-41.27932,148.383,TAS,2024-07-07,gazetted
POINT (146.37208 -43.73863),168525,TAS_2259R,2259R,Mewstone,ISLAND,LANDFORM,TERRAIN,-43.73863,146.37208,TAS,2024-07-07,gazetted
POINT (148.11535 -40.29431),168526,TAS_17335Q,17335Q,Mid Woody,ISLAND,LANDFORM,TERRAIN,-40.29431,148.11535,TAS,2024-07-07,gazetted
POINT (148.36465 -41.30993),168527,TAS_8175X,8175X,Middle Ground,ISLAND,LANDFORM,TERRAIN,-41.30993,148.36465,TAS,2024-07-07,gazetted
POINT (146.86276 -41.14598),168528,TAS_6854N,6854N,Middle Island,ISLAND,LANDFORM,TERRAIN,-41.14598,146.86276,TAS,2024-07-07,gazetted
POINT (147.77522 -39.94253),168529,TAS_3789Y,3789Y,Middle Pasco Islands,ISLAND,LANDFORM,TERRAIN,-39.94253,147.77522,TAS,2024-07-07,gazetted
POINT (145.63935 -43.03752),168530,TAS_10517X,10517X,Middle Rocks,ISLAND,LANDFORM,TERRAIN,-43.03752,145.63935,TAS,2024-07-07,gazetted
POINT (147.91544 -40.1235),168531,TAS_3806M,3806M,Mile Island,ISLAND,LANDFORM,TERRAIN,-40.1235,147.91544,TAS,2024-07-07,gazetted
